customer_id,country_of_origin,loyalty_tier,past_saf_purchase,adds_paid_options,booking_class,num_passengers,length_of_stay_days,destination_region,flight_distance_km,ticket_price_eur,co2_emission_kg,saf_contribution
1,Italy,Silver,0,1,Economy,1,14,Domestic,603,174.03,54.27,0
2,USA,Silver,0,0,Economy,4,9,Intercontinental,8740,1426.02,786.6,0
3,Netherlands,Silver,0,1,Economy,2,8,EU,2154,437.46,193.86,0
4,Germany,Gold,0,0,Economy,4,4,EU,1236,306.53,111.24,0
5,France,Silver,0,1,Economy,2,12,Domestic,677,191.47,60.93,0
6,France,Platinum,0,1,Economy,2,12,Domestic,589,148.83,53.01,0
7,France,Silver,1,1,Economy,1,3,Domestic,1023,247.37,92.07,0
8,USA,Gold,0,0,Economy,3,12,Intercontinental,8280,1347.22,745.2,0
9,Germany,Gold,0,1,Economy,1,3,EU,1238,238.19,111.42,0
10,Netherlands,Gold,0,0,Economy,4,13,EU,2089,418.09,188.01,0
11,France,Platinum,0,0,Business,1,14,Domestic,811,414.33,72.99,1
12,USA,Gold,0,1,Economy,2,10,Intercontinental,8958,1441.55,806.22,0
13,USA,Platinum,0,1,Premium,2,8,Intercontinental,7811,2033.08,702.99,1
14,Spain,Silver,0,1,Business,1,8,Domestic,601,339.61,54.09,0
15,France,Gold,0,0,Economy,4,6,Domestic,946,280.08,85.14,0
16,France,Silver,1,1,Economy,3,14,Domestic,403,189.23,36.27,0
17,Italy,Silver,0,0,Economy,3,7,Domestic,497,186.15,44.73,0
18,UK,Silver,1,0,Economy,2,8,EU,3219,595.51,289.71,0
19,UK,Silver,0,1,Economy,3,14,EU,1879,421.39,169.11,0
20,Spain,Silver,0,0,Premium,3,10,Domestic,255,161.72,22.95,0
21,Germany,Silver,0,1,Economy,4,11,EU,858,232.63,77.22,0
22,France,Silver,0,0,Business,3,5,Domestic,694,413.62,62.46,0
23,Spain,Platinum,0,0,Premium,1,7,Domestic,665,291.72,59.85,0
24,Italy,Silver,0,1,Economy,4,2,Domestic,1175,269.56,105.75,0
25,UK,Gold,0,1,Economy,1,8,EU,2690,484.03,242.1,0
26,Netherlands,Silver,0,0,Economy,2,5,EU,1011,253.43,90.99,0
27,France,Platinum,0,0,Economy,4,3,Domestic,1137,232.61,102.33,0
28,UK,Platinum,0,1,Economy,3,5,EU,1760,382.04,158.4,0
29,Germany,Gold,0,0,Premium,4,9,EU,939,331.19,84.51,0
30,France,Gold,0,0,Economy,2,3,Domestic,473,180.45,42.57,0
31,Germany,Silver,1,1,Economy,1,2,EU,3409,645.97,306.81,0
32,France,Platinum,0,0,Premium,2,2,Domestic,220,140.63,19.8,0
33,France,Platinum,0,1,Economy,4,8,Domestic,353,152.67,31.77,0
34,USA,Platinum,0,1,Economy,1,8,Intercontinental,7582,1242.87,682.38,1
35,USA,Gold,0,1,Economy,1,5,Intercontinental,5905,963.77,531.45,0
36,USA,Silver,1,0,Economy,4,13,Intercontinental,7548,1209.68,679.32,0
37,Italy,Platinum,0,1,Premium,2,6,Domestic,1139,387.37,102.51,1
38,France,Silver,0,0,Business,3,14,Domestic,980,467.72,88.2,0
39,Germany,Gold,1,0,Economy,2,13,EU,780,253.12,70.2,0
40,UK,Silver,0,0,Economy,3,6,EU,2381,506.64,214.29,0
41,France,Platinum,0,0,Economy,2,8,Domestic,1004,221.69,90.36,0
42,UK,Silver,1,0,Premium,4,13,EU,2319,687.28,208.71,0
43,France,Silver,0,0,Economy,2,4,Domestic,1154,237.64,103.86,0
44,USA,Gold,0,0,Economy,2,6,Intercontinental,7699,1223.41,692.91,0
45,Spain,Gold,0,0,Economy,4,8,Domestic,706,232.5,63.54,0
46,Germany,Gold,1,1,Business,4,13,EU,1083,503.17,97.47,1
47,Italy,Silver,0,0,Economy,1,12,Domestic,202,155.2,18.18,0
48,UK,Silver,0,1,Economy,2,8,EU,1274,281.5,114.66,0
49,UK,Gold,0,1,Premium,4,14,EU,3391,945.7,305.19,0
50,France,Platinum,1,1,Economy,4,10,Domestic,1060,234.94,95.4,1
51,USA,Platinum,0,0,Economy,1,5,Intercontinental,5157,878.45,464.13,0
52,Netherlands,Silver,1,1,Economy,4,2,EU,3230,567.66,290.7,0
53,USA,Platinum,0,1,Business,1,6,Intercontinental,5885,2421.46,529.65,1
54,USA,Silver,0,1,Economy,4,12,Intercontinental,8777,1380.46,789.93,0
55,Germany,Gold,0,0,Economy,1,5,EU,1064,309.57,95.76,0
56,USA,Silver,1,1,Economy,2,4,Intercontinental,7221,1167.71,649.89,1
57,France,Silver,0,1,Premium,4,8,Domestic,1107,407.24,99.63,0
58,France,Gold,0,0,Economy,4,10,Domestic,897,218.69,80.73,0
59,France,Gold,1,1,Economy,2,5,Domestic,697,216.85,62.73,1
60,Italy,Silver,0,1,Economy,2,7,Domestic,1024,287.72,92.16,0
61,Italy,Silver,0,1,Economy,2,2,Domestic,615,211.85,55.35,0
62,Spain,Silver,0,0,Premium,1,2,Domestic,824,262.91,74.16,0
63,USA,Gold,0,1,Economy,4,4,Intercontinental,8036,1274.68,723.24,0
64,Italy,Silver,1,0,Premium,4,6,Domestic,439,247.11,39.51,0
65,Spain,Silver,1,1,Premium,3,7,Domestic,1031,354.87,92.79,1
66,UK,Gold,0,0,Business,3,10,EU,2849,1249.45,256.41,1
67,France,Gold,0,0,Economy,4,10,Domestic,939,193.3,84.51,0
68,USA,Gold,0,0,Economy,1,11,Intercontinental,5321,896.88,478.89,0
69,France,Gold,0,1,Economy,1,12,Domestic,1132,262.89,101.88,0
70,USA,Platinum,0,1,Business,3,2,Intercontinental,7701,3199.02,693.09,1
71,Netherlands,Platinum,0,0,Premium,3,3,EU,2785,773.69,250.65,0
72,France,Platinum,0,0,Economy,3,12,Domestic,303,169.84,27.27,0
73,France,Gold,0,0,Business,3,13,Domestic,1160,581.09,104.4,0
74,USA,Silver,0,1,Premium,3,9,Intercontinental,7367,1942.72,663.03,1
75,Netherlands,Platinum,1,0,Business,2,6,EU,1388,642.77,124.92,1
76,Netherlands,Silver,0,0,Economy,4,4,EU,3424,593.8,308.16,0
77,Netherlands,Silver,0,1,Premium,4,10,EU,1248,415.51,112.32,0
78,France,Silver,0,0,Premium,3,3,Domestic,601,257.93,54.09,0
79,Italy,Silver,1,0,Economy,4,8,Domestic,319,142.66,28.71,0
80,France,Platinum,0,0,Business,4,11,Domestic,268,189.26,24.12,0
81,USA,Gold,0,1,Economy,2,9,Intercontinental,7109,1204.34,639.81,0
82,Germany,Gold,0,1,Economy,2,13,EU,2279,422.87,205.11,0
83,Italy,Gold,0,1,Premium,1,3,Domestic,937,351.47,84.33,0
84,France,Silver,1,0,Economy,1,2,Domestic,320,188.48,28.8,0
85,Italy,Silver,0,0,Premium,3,4,Domestic,715,293.43,64.35,0
86,Italy,Gold,0,0,Economy,1,9,Domestic,604,177.19,54.36,0
87,Netherlands,Gold,0,1,Economy,3,5,EU,3278,571.42,295.02,0
88,Germany,Silver,0,1,Economy,1,14,EU,1724,393.94,155.16,0
89,USA,Gold,0,1,Economy,4,6,Intercontinental,6255,1037.25,562.95,0
90,UK,Silver,0,0,Premium,4,10,EU,2341,694.59,210.69,0
91,France,Silver,0,1,Economy,1,5,Domestic,418,172.33,37.62,0
92,Netherlands,Silver,0,1,Economy,4,13,EU,3272,594.18,294.48,0
93,Netherlands,Silver,0,0,Economy,4,10,EU,2979,589.98,268.11,0
94,Germany,Platinum,0,1,Premium,3,7,EU,1871,610.85,168.39,1
95,Netherlands,Platinum,0,1,Economy,4,13,EU,1785,321.79,160.65,0
96,UK,Silver,0,1,Premium,1,8,EU,2395,699.32,215.55,0
97,UK,Gold,0,1,Economy,4,9,EU,2626,500.46,236.34,0
98,UK,Gold,0,0,Economy,3,11,EU,1345,344.31,121.05,0
99,France,Silver,1,1,Premium,1,11,Domestic,615,210.72,55.35,1
100,France,Silver,0,1,Economy,3,2,Domestic,1097,293.46,98.73,0
101,France,Platinum,1,0,Economy,4,10,Domestic,769,229.59,69.21,0
102,Germany,Gold,0,0,Premium,4,3,EU,749,310.5,67.41,0
103,Italy,Platinum,0,0,Economy,4,4,Domestic,218,111.87,19.62,0
104,UK,Silver,0,0,Premium,2,2,EU,619,279.41,55.71,0
105,USA,Gold,0,1,Premium,3,11,Intercontinental,7403,1929.02,666.27,1
106,Spain,Silver,0,0,Economy,1,12,Domestic,1113,284.52,100.17,0
107,UK,Silver,1,0,Economy,4,4,EU,3403,639.15,306.27,0
108,Netherlands,Gold,1,0,Economy,2,3,EU,2569,513.68,231.21,0
109,Spain,Silver,0,0,Business,2,8,Domestic,213,189.64,19.17,0
110,France,Silver,0,0,Business,3,8,Domestic,987,486.16,88.83,0
111,Spain,Silver,1,0,Economy,4,7,Domestic,500,149.36,45.0,0
112,France,Silver,1,0,Economy,3,11,Domestic,1055,211.6,94.95,0
113,USA,Gold,0,1,Economy,4,13,Intercontinental,8374,1310.99,753.66,0
114,USA,Silver,0,0,Economy,4,12,Intercontinental,6262,1031.15,563.58,0
115,Germany,Silver,0,1,Economy,4,14,EU,3472,580.29,312.48,0
116,USA,Silver,0,0,Premium,2,5,Intercontinental,5030,1318.7,452.7,0
117,USA,Silver,0,0,Business,3,13,Intercontinental,7995,3267.47,719.55,1
118,France,Gold,0,0,Business,3,4,Domestic,299,217.73,26.91,0
119,USA,Silver,0,0,Economy,3,8,Intercontinental,7510,1235.68,675.9,0
120,UK,Gold,0,0,Business,1,12,EU,2181,991.83,196.29,1
121,USA,Silver,0,0,Premium,1,4,Intercontinental,5902,1574.12,531.18,0
122,USA,Silver,1,0,Economy,2,10,Intercontinental,5816,988.87,523.44,0
123,Italy,Platinum,1,1,Economy,2,11,Domestic,606,227.11,54.54,1
124,France,Gold,0,0,Premium,2,9,Domestic,1188,384.42,106.92,0
125,Spain,Silver,0,1,Business,3,8,Domestic,752,419.62,67.68,0
126,UK,Platinum,0,1,Economy,3,3,EU,2742,527.15,246.78,0
127,USA,Silver,0,1,Economy,4,11,Intercontinental,7641,1259.8,687.69,0
128,USA,Platinum,0,0,Economy,3,4,Intercontinental,6132,1028.15,551.88,0
129,France,Gold,0,1,Business,2,9,Domestic,358,265.82,32.22,1
130,UK,Gold,0,0,Business,2,13,EU,2694,1209.45,242.46,1
131,UK,Platinum,0,0,Economy,4,12,EU,3003,539.66,270.27,0
132,Spain,Silver,0,0,Economy,1,4,Domestic,729,224.83,65.61,0
133,France,Gold,1,1,Business,3,9,Domestic,401,235.25,36.09,1
134,Italy,Silver,0,0,Premium,3,5,Domestic,462,241.1,41.58,0
135,USA,Silver,0,1,Business,1,6,Intercontinental,7597,3176.84,683.73,1
136,Italy,Silver,0,0,Premium,2,10,Domestic,884,347.15,79.56,0
137,UK,Silver,0,1,Economy,2,14,EU,1641,345.26,147.69,0
138,Netherlands,Gold,0,1,Premium,2,12,EU,1632,471.34,146.88,1
139,Italy,Gold,1,1,Economy,3,11,Domestic,1074,298.41,96.66,1
140,USA,Gold,0,0,Premium,1,3,Intercontinental,8599,2281.21,773.91,1
141,USA,Silver,1,1,Economy,1,13,Intercontinental,6341,1070.95,570.69,1
142,Spain,Silver,0,1,Business,2,4,Domestic,1095,573.15,98.55,0
143,UK,Platinum,0,0,Business,3,13,EU,639,358.9,57.51,1
144,Italy,Silver,0,0,Economy,1,13,Domestic,672,249.88,60.48,0
145,Spain,Gold,0,1,Economy,3,2,Domestic,812,255.51,73.08,0
146,France,Gold,0,0,Economy,4,9,Domestic,293,110.31,26.37,0
147,Germany,Gold,1,1,Premium,2,13,EU,657,254.47,59.13,1
148,UK,Gold,0,0,Premium,2,12,EU,2332,650.01,209.88,0
149,France,Platinum,0,0,Business,4,10,Domestic,817,399.23,73.53,0
150,Spain,Silver,1,0,Economy,1,11,Domestic,549,182.45,49.41,0
151,USA,Platinum,0,0,Economy,2,10,Intercontinental,6298,1030.84,566.82,0
152,Spain,Silver,0,0,Economy,1,4,Domestic,917,278.52,82.53,0
153,France,Silver,0,1,Economy,2,6,Domestic,738,160.71,66.42,0
154,UK,Silver,0,0,Economy,4,10,EU,2933,490.99,263.97,0
155,USA,Gold,0,1,Business,4,6,Intercontinental,7092,2978.84,638.28,1
156,Spain,Silver,0,1,Economy,1,2,Domestic,1173,249.85,105.57,0
157,Germany,Silver,0,0,Premium,2,2,EU,3062,815.75,275.58,0
158,Netherlands,Silver,0,0,Economy,2,5,EU,2683,496.21,241.47,0
159,Spain,Platinum,0,0,Economy,3,8,Domestic,1134,239.66,102.06,0
160,Netherlands,Platinum,0,0,Economy,3,8,EU,1929,344.68,173.61,0
161,Italy,Gold,0,0,Economy,2,8,Domestic,1061,262.2,95.49,0
162,Germany,Gold,1,0,Business,1,14,EU,2685,1138.02,241.65,1
163,Germany,Silver,0,1,Economy,4,7,EU,2886,566.59,259.74,0
164,UK,Silver,1,0,Economy,2,14,EU,2472,451.02,222.48,0
165,France,Platinum,0,1,Premium,3,2,Domestic,785,268.42,70.65,1
166,USA,Silver,0,1,Business,4,12,Intercontinental,5783,2437.18,520.47,1
167,Italy,Silver,0,1,Economy,1,4,Domestic,890,268.36,80.1,0
168,France,Silver,1,1,Economy,2,6,Domestic,658,158.01,59.22,0
169,France,Silver,0,1,Economy,2,13,Domestic,366,120.06,32.94,0
170,Germany,Silver,1,0,Economy,4,5,EU,1836,372.86,165.24,0
171,Germany,Gold,1,1,Economy,4,12,EU,1331,308.67,119.79,1
172,France,Silver,0,1,Business,3,5,Domestic,958,441.53,86.22,0
173,UK,Gold,0,0,Economy,1,10,EU,2286,430.4,205.74,0
174,Spain,Silver,0,0,Economy,4,8,Domestic,565,224.51,50.85,0
175,Germany,Silver,0,0,Economy,1,10,EU,2968,582.81,267.12,0
176,France,Silver,0,0,Premium,1,14,Domestic,504,207.12,45.36,0
177,Germany,Gold,1,0,Economy,2,8,EU,1556,306.14,140.04,0
178,Italy,Silver,0,1,Economy,4,11,Domestic,381,165.43,34.29,0
179,USA,Gold,0,1,Economy,4,4,Intercontinental,6676,1061.01,600.84,0
180,France,Gold,0,0,Economy,3,12,Domestic,1167,248.39,105.03,0
181,Italy,Gold,1,0,Economy,2,11,Domestic,282,108.98,25.38,0
182,France,Silver,0,1,Economy,4,5,Domestic,863,200.22,77.67,0
183,USA,Silver,1,0,Economy,4,10,Intercontinental,7151,1144.13,643.59,0
184,USA,Silver,1,0,Economy,3,2,Intercontinental,8248,1349.95,742.32,0
185,Spain,Gold,0,1,Economy,3,4,Domestic,834,223.91,75.06,0
186,Germany,Silver,0,0,Business,1,12,EU,2352,1077.03,211.68,0
187,USA,Platinum,0,0,Economy,2,5,Intercontinental,5874,1004.66,528.66,0
188,Germany,Platinum,0,0,Premium,1,5,EU,881,320.14,79.29,0
189,UK,Silver,0,1,Economy,3,8,EU,2561,464.89,230.49,0
190,Spain,Silver,0,1,Premium,4,12,Domestic,1186,429.7,106.74,0
191,France,Gold,0,0,Economy,4,5,Domestic,679,159.8,61.11,0
192,USA,Silver,0,0,Economy,3,11,Intercontinental,8307,1364.15,747.63,0
193,USA,Silver,0,1,Premium,1,9,Intercontinental,8842,2271.8,795.78,1
194,Germany,Platinum,0,1,Premium,1,2,EU,3264,919.28,293.76,1
195,Italy,Silver,0,1,Business,3,4,Domestic,644,397.76,57.96,0
196,Italy,Platinum,1,1,Premium,4,11,Domestic,882,294.31,79.38,1
197,Netherlands,Gold,0,0,Economy,2,11,EU,666,157.75,59.94,0
198,USA,Gold,0,1,Economy,1,7,Intercontinental,6677,1085.5,600.93,0
199,USA,Silver,1,1,Economy,2,14,Intercontinental,5447,914.88,490.23,1
200,Netherlands,Silver,1,1,Economy,4,4,EU,2935,562.73,264.15,0
201,Germany,Gold,0,1,Premium,3,9,EU,1811,505.72,162.99,1
202,France,Silver,0,0,Economy,1,8,Domestic,812,184.89,73.08,0
203,France,Silver,0,1,Business,1,6,Domestic,604,332.67,54.36,0
204,USA,Silver,0,1,Economy,4,3,Intercontinental,7409,1170.85,666.81,0
205,Germany,Silver,1,1,Economy,3,12,EU,3292,639.39,296.28,0
206,France,Silver,0,0,Economy,1,6,Domestic,778,217.8,70.02,0
207,France,Gold,1,1,Economy,4,10,Domestic,1181,264.84,106.29,0
208,Germany,Silver,0,1,Premium,1,12,EU,1323,478.72,119.07,0
209,France,Silver,0,0,Business,2,6,Domestic,880,466.61,79.2,0
210,France,Gold,0,1,Economy,1,13,Domestic,307,147.63,27.63,0
211,UK,Platinum,0,1,Premium,4,4,EU,2649,736.36,238.41,1
212,Germany,Silver,0,0,Economy,2,8,EU,1752,338.11,157.68,0
213,Germany,Silver,0,0,Business,1,13,EU,2542,1103.03,228.78,0
214,Spain,Gold,0,1,Economy,1,4,Domestic,1158,298.77,104.22,0
215,Netherlands,Platinum,1,0,Economy,3,9,EU,2823,555.05,254.07,1
216,Spain,Gold,0,0,Economy,3,6,Domestic,992,218.01,89.28,0
217,Italy,Gold,1,0,Economy,1,6,Domestic,289,175.09,26.01,0
218,Netherlands,Silver,0,0,Economy,2,7,EU,2512,459.89,226.08,0
219,Germany,Gold,1,0,Economy,3,12,EU,2458,438.73,221.22,0
220,USA,Silver,1,0,Economy,3,11,Intercontinental,8323,1317.93,749.07,0
221,Germany,Gold,0,1,Economy,3,14,EU,1718,354.04,154.62,0
222,Germany,Gold,1,1,Premium,4,7,EU,2226,683.21,200.34,1
223,France,Platinum,0,1,Premium,1,4,Domestic,916,336.07,82.44,1
224,Italy,Silver,1,0,Premium,2,12,Domestic,1142,381.96,102.78,0
225,Spain,Silver,0,0,Economy,2,8,Domestic,680,153.8,61.2,0
226,Spain,Gold,0,0,Economy,1,10,Domestic,544,187.96,48.96,0
227,USA,Gold,0,1,Economy,3,13,Intercontinental,6398,1077.17,575.82,0
228,Italy,Gold,0,1,Economy,2,2,Domestic,255,98.06,22.95,0
229,USA,Silver,0,1,Economy,4,5,Intercontinental,6082,1057.92,547.38,0
230,Germany,Silver,1,0,Economy,4,5,EU,2566,444.05,230.94,0
231,Netherlands,Gold,0,1,Economy,2,2,EU,1341,320.22,120.69,0
232,UK,Silver,0,0,Economy,4,7,EU,2701,507.61,243.09,0
233,Germany,Platinum,1,1,Economy,1,3,EU,3410,649.92,306.9,1
234,UK,Silver,1,0,Business,4,12,EU,2182,964.21,196.38,1
235,France,Gold,0,0,Business,4,14,Domestic,1147,559.65,103.23,0
236,Netherlands,Gold,0,0,Economy,2,12,EU,3305,601.04,297.45,0
237,Spain,Gold,0,1,Economy,4,7,Domestic,408,198.68,36.72,0
238,France,Silver,1,0,Business,2,2,Domestic,245,227.96,22.05,1
239,Germany,Platinum,1,0,Business,3,11,EU,2765,1184.01,248.85,1
240,France,Silver,0,0,Premium,3,14,Domestic,416,249.53,37.44,0
241,USA,Gold,0,1,Economy,4,6,Intercontinental,7681,1277.46,691.29,0
242,USA,Silver,1,0,Economy,3,7,Intercontinental,6177,977.75,555.93,0
243,USA,Silver,1,1,Economy,2,11,Intercontinental,8583,1355.82,772.47,1
244,Italy,Silver,1,1,Premium,3,14,Domestic,729,317.83,65.61,1
245,France,Silver,0,1,Premium,1,14,Domestic,504,240.59,45.36,0
246,USA,Platinum,0,1,Economy,3,3,Intercontinental,8264,1315.41,743.76,1
247,UK,Silver,0,1,Economy,3,2,EU,1477,288.69,132.93,0
248,USA,Gold,0,0,Economy,2,8,Intercontinental,6926,1103.58,623.34,0
249,USA,Platinum,1,0,Premium,3,2,Intercontinental,6181,1627.06,556.29,1
250,USA,Silver,0,1,Premium,4,8,Intercontinental,6632,1797.85,596.88,0
251,Spain,Gold,1,0,Economy,1,14,Domestic,352,138.0,31.68,0
252,Italy,Silver,0,0,Economy,3,2,Domestic,992,264.87,89.28,0
253,USA,Silver,1,1,Economy,3,10,Intercontinental,5922,949.46,532.98,1
254,Italy,Silver,0,1,Premium,4,14,Domestic,234,161.64,21.06,0
255,France,Platinum,0,1,Premium,1,6,Domestic,306,160.79,27.54,1
256,Germany,Silver,0,1,Economy,1,7,EU,1961,360.2,176.49,0
257,USA,Gold,0,1,Economy,3,8,Intercontinental,7936,1320.18,714.24,0
258,Germany,Gold,1,0,Economy,2,2,EU,2917,569.1,262.53,0
259,Germany,Platinum,0,0,Economy,1,9,EU,2298,425.33,206.82,0
260,France,Silver,0,1,Economy,1,7,Domestic,745,227.13,67.05,0
261,Germany,Gold,1,0,Economy,2,13,EU,3387,597.46,304.83,0
262,USA,Gold,1,0,Premium,1,3,Intercontinental,7471,1922.2,672.39,1
263,France,Gold,0,1,Premium,1,2,Domestic,387,189.53,34.83,0
264,UK,Platinum,1,0,Economy,2,2,EU,3148,579.79,283.32,1
265,USA,Platinum,0,0,Economy,3,5,Intercontinental,7849,1257.25,706.41,0
266,Netherlands,Silver,0,0,Economy,2,4,EU,868,275.09,78.12,0
267,Germany,Silver,0,0,Premium,4,12,EU,2907,832.55,261.63,0
268,Netherlands,Silver,0,0,Premium,4,7,EU,2532,720.15,227.88,0
269,Italy,Silver,0,1,Economy,3,11,Domestic,247,160.55,22.23,0
270,Spain,Silver,0,0,Economy,4,14,Domestic,307,130.14,27.63,0
271,USA,Silver,0,0,Economy,4,9,Intercontinental,8212,1284.27,739.08,0
272,USA,Silver,1,0,Economy,1,2,Intercontinental,7774,1216.93,699.66,0
273,USA,Platinum,0,0,Economy,1,13,Intercontinental,6372,1036.0,573.48,0
274,USA,Silver,1,1,Economy,3,8,Intercontinental,8616,1358.0,775.44,1
275,UK,Platinum,1,0,Economy,4,9,EU,3182,562.55,286.38,0
276,UK,Silver,0,1,Economy,4,6,EU,1178,303.67,106.02,0
277,Netherlands,Gold,0,0,Premium,2,9,EU,3319,910.66,298.71,0
278,Germany,Platinum,0,1,Economy,1,14,EU,1114,273.06,100.26,0
279,Netherlands,Silver,1,0,Business,2,12,EU,1507,744.76,135.63,1
280,Netherlands,Silver,0,0,Economy,4,2,EU,2771,535.48,249.39,0
281,USA,Silver,0,0,Economy,3,3,Intercontinental,8383,1363.63,754.47,0
282,Italy,Silver,1,1,Economy,4,5,Domestic,395,195.96,35.55,0
283,Italy,Platinum,0,0,Economy,3,2,Domestic,744,194.66,66.96,0
284,France,Platinum,0,0,Economy,3,14,Domestic,231,104.43,20.79,0
